start	end	seg_len
1173587161	1173589107	1946
1173591039	1173593675	2636
1173595651	1173598446	2795
1173598448	1173607280	8832
1173611350	1173613713	2363
1173613716	1173614512	796
1173614514	1173616737	2223
1173641573	1173643599	2026
1173644421	1173645531	1110
1173645533	1173646358	825
1173646360	1173653021	6661
1173659736	1173673886	14150
1173673889	1173713049	39160
1173713051	1173714967	1916
1173714969	1173715470	501
1173715621	1173715856	235
1173716136	1173716438	302
1173716863	1173716911	48
1173720338	1173720827	489
1173720829	1173721035	206
1173721037	1173722081	1044
1173722083	1173728197	6114
1173728199	1173728289	90
1173728291	1173728526	235
1173728528	1173729304	776
1173729306	1173729833	527
1173729937	1173730486	549
1173730488	1173735105	4617
1173735107	1173750209	15102
1173753147	1173774628	21481
1173774630	1173796045	21415
1173796047	1173803986	7939
1173803988	1173804976	988
1173804978	1173807028	2050
1173807030	1173807041	11
1173812946	1173816117	3171
1173816119	1173816595	476
1173816598	1173816911	313
1173816913	1173826277	9364
1173826677	1173828171	1494
1173828173	1173831138	2965
1173831140	1173832347	1207
1173832349	1173833502	1153
1173833504	1173843999	10495
1173847353	1173850108	2755
1173853066	1173855162	2096
1173855209	1173856825	1616
1173859324	1173861859	2535
1173861862	1173900023	38161
1173900028	1173900481	453
1173900495	1173901324	829
1173901327	1173901843	516
1173901851	1173901946	95
1173901963	1173902017	54
1173906065	1173906375	310
1173906378	1173906418	40
1173906421	1173906580	159
1173906586	1173906717	131
1173906722	1173906785	63
1173919283	1173965987	46704
1173965990	1173976546	10556
1173985627	1173989051	3424
1173989202	1173997194	7992
1173997282	1173997441	159
1173997443	1174006249	8806
1174006377	1174008067	1690
1174008071	1174013245	5174
1174013248	1174013254	6
1174013256	1174013518	262
1174013524	1174013691	167
1174013695	1174015076	1381
1174015082	1174018904	3822
1174018907	1174019061	154
1174019065	1174019440	375
1174019442	1174020387	945
1174020390	1174020391	1
1174020394	1174020483	89
1174020486	1174020495	9
1174020509	1174020535	26
1174020544	1174020545	1
1174020548	1174020645	97
1174020650	1174020673	23
1174020682	1174020792	110
1174020794	1174020795	1
1174020797	1174021452	655
1174021456	1174021554	98
1174021562	1174023203	1641
1174023210	1174026633	3423
1174026648	1174027934	1286
1174027937	1174029241	1304
1174029245	1174029249	4
1174029253	1174029254	1
1174029259	1174031767	2508
1174031769	1174031772	3
1174031774	1174032742	968
1174032749	1174061519	28770
1174061521	1174062094	573
1174062108	1174062118	10
1174062120	1174062121	1
